Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
125.5,-1.131296524,33.67386973,0.183899465,25.14897956,27.32496472,29.98356997,33.67386973,38.48905687,44.29292431,52.22292668
126.5,-1.115542634,34.00363017,0.184847006,25.3473142,27.55725852,30.25712523,34.00363017,38.88907228,44.77111415,52.79314187
127.5,-1.099650267,34.33766207,0.185774041,25.54826471,27.79270478,30.53439065,34.33766207,39.29366396,45.2535413,53.36583897
128.5,-1.083654055,34.67599076,0.18667847,25.75194512,28.03139872,30.8154346,34.67599076,39.70279517,45.74009589,53.94084012
129.5,-1.067587314,35.01863732,0.187558229,25.95847011,28.27343489,31.1003232,35.01863732,40.11642323,46.23066219,54.51796605
130.5,-1.051482972,35.36561737,0.18841128,26.16795559,28.51890714,31.38911963,35.36561737,40.53449819,46.72511793,55.09703793
131.5,-1.035367321,35.71694723,0.189235738,26.38051177,28.76790586,31.6818858,35.71694723,40.95697152,47.22334049,55.67786843
132.5,-1.019277299,36.07262569,0.190029545,26.59626062,29.02052392,31.97867622,36.07262569,41.38377162,47.72519072,56.26028801
133.5,-1.003235326,36.43265996,0.190790973,26.81530934,29.27684696,32.27954601,36.43265996,41.81483955,48.23053714,56.84410756
134.5,-0.987269866,36.79704392,0.191518224,27.03777112,29.53696045,32.58454356,36.79704392,42.25009969,48.73923662,57.42914961
135.5,-0.971406609,37.1657671,0.192209619,27.26375553,29.80094595,32.89371309,37.1657671,42.68947235,49.25114312,58.01523548
136.5,-0.955670107,37.53881268,0.192863569,27.49336962,30.06888124,33.20709368,37.53881268,43.13287143,49.76610635,58.60218796
137.5,-0.940083834,37.91615721,0.193478582,27.72671746,30.34083979,33.52471882,37.91615721,43.58020437,50.28397203,59.18983178
138.5,-0.924670244,38.2977703,0.194053274,27.96389959,30.61689027,33.84661596,38.2977703,44.03137211,50.80458216,59.77799389
139.5,-0.909450843,38.6836143,0.194586368,28.20501252,30.89709604,34.17280606,38.6836143,44.48626901,51.32777521,60.36650388
140.5,-0.894446258,39.07364401,0.195076705,28.4501482,31.18151463,34.50330312,39.07364401,44.94478284,51.85338637,60.95519425
141.5,-0.879676305,39.46780643,0.195523246,28.69939347,31.47019723,34.83811379,39.46780643,45.40679475,52.38124777,61.54390076
142.5,-0.865160071,39.86604044,0.195925079,28.95282957,31.76318818,35.17723687,39.86604044,45.8721792,52.91118868,62.13246268
143.5,-0.850915987,40.26827652,0.196281418,29.21053153,32.06052445,35.52066292,40.26827652,46.34080401,53.44303574,62.72072311
144.5,-0.836961905,40.67443658,0.196591612,29.47256769,32.36223514,35.8683738,40.67443658,46.81253029,53.97661318,63.30852916
145.5,-0.823315176,41.08443363,0.19685514,29.73899917,32.66834099,36.22034231,41.08443363,47.28721249,54.51174297,63.89573222
146.5,-0.809992726,41.49817164,0.19707162,30.00987927,32.97885387,36.57653175,41.49817164,47.76469837,55.04824506,64.48218816
147.5,-0.797011132,41.91554528,0.197240806,30.28525305,33.29377635,36.9368956,41.91554528,48.24482905,55.58593751,65.06775743
148.5,-0.784386693,42.33643978,0.197362591,30.56515671,33.61310119,37.3013771,42.33643978,48.72743903,56.1246367,65.65230527
149.5,-0.772135506,42.76073078,0.197437004,30.84961718,33.93681092,37.669909,42.76073078,49.21235624,56.66415748,66.23570179
150.5,-0.760273528,43.18828419,0.19746421,31.13865154,34.26487746,38.04241318,43.18828419,49.6994021,57.20431332,66.81782206
151.5,-0.748815968,43.61895703,0.197444522,31.43226571,34.59726137,38.4188008,43.61895703,50.1883928,57.74491716,67.39854494
152.5,-0.737780398,44.0525931,0.197378345,31.73045808,34.9339128,38.79897039,44.0525931,50.67913392,58.2857783,67.97775861
153.5,-0.727181568,44.48903027,0.197266263,32.03321196,35.27476898,39.18281045,44.48903027,51.17142989,58.82670813,68.5553511
154.5,-0.717035494,44.92809483,0.197108968,32.34050069,35.61975555,39.57019714,44.92809483,51.66507694,59.36751587,69.13121752
155.5,-0.707358338,45.36960315,0.196907274,32.6522856,35.96878581,39.96099475,45.36960315,52.15986523,59.90801,69.70525793
156.5,-0.698166437,45.81336172,0.196662115,32.96851571,36.32176053,40.35505561,45.81336172,52.65557906,60.44799828,70.27737718
157.5,-0.689476327,46.25916729,0.196374538,33.28912731,36.67856768,40.75222006,46.25916729,53.15199704,60.98728788,70.8474848
158.5,-0.68130475,46.70680701,0.196045701,33.61404373,37.03908232,41.15231646,46.70680701,53.64889226,61.52568545,71.41549477
159.5,-0.673668658,47.15605863,0.195676862,33.94317499,37.40316649,41.55516124,47.15605863,54.14603254,62.06299719,71.98132532
160.5,-0.666585194,47.60669074,0.19526938,34.27641756,37.7706691,41.96055897,47.60669074,54.64318067,62.59902894,72.54489869
161.5,-0.660069969,48.05846572,0.19482473,34.61365176,38.14142532,42.36830371,48.05846572,55.14009784,63.13358794,73.10613746
162.5,-0.654142602,48.51113138,0.19434441,34.95474943,38.51525867,42.77817554,48.51113138,55.63653354,63.66647721,73.66497514
163.5,-0.648819666,48.96443224,0.193830046,35.29956396,38.89197851,43.1899454,48.96443224,56.13223889,64.19750276,74.22134215
164.5,-0.644118611,49.41810374,0.193283319,35.64793577,39.27138168,43.6033728,49.41810374,56.62695959,64.72646954,74.77517319
165.5,-0.640056805,49.87187409,0.192705974,35.99969112,39.65325233,44.01820683,49.87187409,57.12043787,65.25318239,75.32640513
166.5,-0.636651424,50.32546478,0.192099812,36.354642,40.03736224,44.43418656,50.32546478,57.61241293,65.77744608,75.87497649
167.5,-0.633919328,50.77859121,0.191466681,36.71258626,40.42347105,44.8510416,50.77859121,58.10262135,66.29906539,76.42082697
168.5,-0.631876912,51.23096332,0.190808471,37.07330766,40.81132672,45.26849262,51.23096332,58.59079757,66.81784516,76.96389688
169.5,-0.63053994,51.68228625,0.190127105,37.43657601,41.20066588,45.68625203,51.68228625,59.07667438,67.33359031,77.50412655
170.5,-0.629923353,52.13226113,0.18942453,37.80214741,41.5912144,46.10402466,52.13226113,59.55998349,67.846106,78.04145573
171.5,-0.630041066,52.58058583,0.188702714,38.16976444,41.98268787,46.5215085,52.58058583,60.04045606,68.35519765,78.57582294
172.5,-0.630905733,53.02695588,0.187963636,38.53915657,42.37479226,46.93839552,53.02695588,60.51782332,68.86067105,79.10716478
173.5,-0.632528509,53.47106525,0.187209281,38.91004046,42.76722456,47.35437254,53.47106525,60.99181722,69.36233252,79.63541524
174.5,-0.634918779,53.91260737,0.18644163,39.28212045,43.15967355,47.76912213,53.91260737,61.4621711,69.85998897,80.16050495
175.5,-0.638083884,54.35127608,0.185662657,39.65508906,43.55182054,48.18232356,54.35127608,61.92862037,70.35344811,80.68236046
176.5,-0.642028835,54.78676659,0.184874323,40.02862762,43.94334028,48.59365384,54.78676659,62.3909033,70.8425186,81.20090348
177.5,-0.646756013,55.21877657,0.184078567,40.40240687,44.33390178,49.00278873,55.21877657,62.84876169,71.32701026,81.71605007
178.5,-0.652262297,55.64701131,0.183277339,40.77608405,44.72316843,49.40940563,55.64701131,63.30194659,71.80673678,82.22770492
179.5,-0.658551638,56.07116407,0.182472427,41.14932239,45.1108035,49.81317566,56.07116407,63.75019486,72.2815034,82.73578555
180.5,-0.665609025,56.49095862,0.181665781,41.52175462,45.49646217,50.21378283,56.49095862,64.19327833,72.75113236,83.24017154
181.5,-0.673425951,56.90610886,0.18085918,41.89302144,45.87980164,50.61090716,56.90610886,64.63095632,73.21543801,83.74075385
182.5,-0.681987284,57.31634059,0.180054395,42.26275389,46.26047782,51.0042348,57.31634059,65.06300059,73.6742397,84.23740907
183.5,-0.691273614,57.72138846,0.179253153,42.63057829,46.63814737,51.39345743,57.72138846,65.48919135,74.12735965,84.73000377
184.5,-0.701261055,58.12099696,0.178457127,42.99611758,47.01246901,51.77827341,58.12099696,65.90931806,74.57462329,85.21839391
185.5,-0.711921092,58.51492143,0.177667942,43.3589927,47.3831047,52.15838887,58.51492143,66.32318017,75.01585966,85.70242429
186.5,-0.723218488,58.90293208,0.176887192,43.71882106,47.74972019,52.53352018,58.90293208,66.73059164,75.45090384,86.18192445
187.5,-0.735121189,59.28479948,0.176116307,44.07523324,48.11199053,52.90338872,59.28479948,67.13136309,75.87958721,86.65672655
188.5,-0.747580416,59.66032626,0.175356814,44.42784452,48.46959303,53.26773454,59.66032626,67.52533948,76.30175821,87.12662858
189.5,-0.760550666,60.02931704,0.174610071,44.77628678,48.82221709,53.62630488,60.02931704,67.91236375,76.71726244,87.59143077
190.5,-0.773984558,60.39158721,0.173877336,45.1202019,49.16956302,53.97885832,60.39158721,68.29228717,77.12594864,88.05092631
191.5,-0.787817728,60.74698785,0.173159953,45.45922209,49.51133821,54.32517625,60.74698785,68.66499835,77.5276843,88.50487158
192.5,-0.801993069,61.09536847,0.172459052,45.79300591,49.84726703,54.66504759,61.09536847,69.03037911,77.92233231,88.95303286
193.5,-0.816446409,61.43660077,0.171775726,46.12121938,50.17708708,54.9982797,61.43660077,69.38833214,78.30976593,89.39515827
194.5,-0.831110299,61.77057372,0.171110986,46.4435428,50.5005518,55.32469696,61.77057372,69.73877506,78.68986591,89.83098491
195.5,-0.845914498,62.09719399,0.170465756,46.75967279,50.81743186,55.64414166,62.09719399,70.08164061,79.0625209,90.26023965
196.5,-0.860786514,62.41638628,0.169840869,47.06932426,51.12751661,55.95647478,62.41638628,70.41687682,79.42762779,90.68264001
197.5,-0.875652181,62.72809362,0.169237063,47.37223239,51.43061537,56.26157681,62.72809362,70.74444713,79.78509216,91.09789536
198.5,-0.890436283,63.03227756,0.168654971,47.66815456,51.72655874,56.55934839,63.03227756,71.06433046,80.13482859,91.50570814
199.5,-0.905063185,63.32891841,0.168095124,47.9568721,52.01519982,56.8497111,63.32891841,71.3765212,80.47676112,91.90577541
200.5,-0.91945749,63.61801537,0.16755794,48.23819204,52.29641539,57.13260799,63.61801537,71.68102918,80.81082354,92.29779046
201.5,-0.933544683,63.89958662,0.167043722,48.5119486,52.57010692,57.40800416,63.89958662,71.97787966,81.1369598,92.6814447
202.5,-0.947251765,64.17366943,0.166552654,48.77800463,52.83620153,57.67588728,64.17366943,72.26711325,81.45512442,93.05642962
203.5,-0.960507855,64.44032016,0.166084798,49.03625275,53.09465275,57.93626794,64.44032016,72.54878582,81.76528289,93.42243904
204.5,-0.973244762,64.69961427,0.16564009,49.28661635,53.34544121,58.18918,64.69961427,72.82296841,82.06741212,93.77917145
205.5,-0.985397502,64.95164625,0.165218341,49.52905029,53.58857507,58.43468077,64.95164625,73.08974718,82.3615009,94.12633257
206.5,-0.996904762,65.1965295,0.164819236,49.76354136,53.82409032,58.67285105,65.1965295,73.34922324,82.64755047,94.46363806
207.5,-1.007705555,65.43440186,0.16444238,49.99010333,54.05204939,58.90379742,65.43440186,73.60151968,82.92557908,94.79080897
208.5,-1.017756047,65.66540015,0.164087103,50.2087994,54.27254708,59.1276417,65.66540015,73.84675041,83.19560496,95.10760779
209.5,-1.027002713,65.88970117,0.163752791,50.41970456,54.48570012,59.3445374,65.88970117,74.08507097,83.45767612,95.41378755
210.5,-1.035402243,66.10749114,0.163438661,50.62293176,54.69165364,59.55465678,66.10749114,74.31664141,83.71184998,95.70913474
211.5,-1.042916356,66.31897311,0.163143825,50.81862346,54.89057819,59.75819326,66.31897311,74.54163604,83.95819995,95.99346235
212.5,-1.049511871,66.52436618,0.162867311,51.00695001,55.08266832,59.95536025,66.52436618,74.76024322,84.19681638,96.26661385
213.5,-1.055160732,66.72390443,0.162608072,51.18810764,55.26814081,60.1463897,66.72390443,74.97266503,84.42780754,96.52846743
214.5,-1.059840019,66.91783563,0.162365006,51.36231608,55.44723255,60.33153027,66.91783563,75.17911684,84.6513007,96.77894046
215.5,-1.063531973,67.10641956,0.162136973,51.52981582,55.62019799,60.51104512,67.10641956,75.37982657,84.86744322,97.01799447
216.5,-1.066224038,67.28992603,0.161922819,51.69086489,55.78730622,60.68520928,67.28992603,75.57503388,85.07640364,97.24564034
217.5,-1.067908908,67.46863255,0.161721398,51.8457352,55.94883747,60.85430662,67.46863255,75.76498909,85.27837286,97.46194398
218.5,-1.068589885,67.64281378,0.16153153,51.99471665,56.10508206,61.0186237,67.64281378,75.94994171,85.47355853,97.66704065
219.5,-1.068261146,67.8127675,0.161352313,52.13808124,56.25632509,61.17845532,67.8127675,76.13017744,85.66221241,97.8611107
220.5,-1.066933756,67.97877331,0.161182785,52.27611902,56.402856,61.33408787,67.97877331,76.30596623,85.84459728,98.04442516
221.5,-1.064620976,68.14111022,0.161022184,52.4091082,56.54495425,61.48580086,68.14111022,76.47758936,86.02100855,98.21733128
222.5,-1.061341755,68.30004741,0.160869943,52.53731392,56.68288493,61.63385984,68.30004741,76.64533092,86.1917714,98.38026471
223.5,-1.057116957,68.4558454,0.160725793,52.66097508,56.81689002,61.77851223,68.4558454,76.80948323,86.35724712,98.53374986
224.5,-1.051988979,68.60872174,0.160589574,52.78032448,56.94718918,61.91996953,68.60872174,76.97030781,86.51781277,98.67844376
225.5,-1.04599033,68.75889263,0.1604617,52.89553346,57.073957,62.05841733,68.75889263,77.12809294,86.6739,98.8150862
226.5,-1.039168248,68.90653028,0.160342924,53.00673755,57.19732448,62.19399335,68.90653028,77.28310484,86.82596904,98.94455298
227.5,-1.031579574,69.05176427,0.160234478,53.11401756,57.31736613,62.32678127,69.05176427,77.43559533,86.97451776,99.06785516
228.5,-1.023291946,69.19467288,0.160138158,53.21738885,57.43408908,62.45680021,69.19467288,77.58579719,87.12008338,99.18615007
229.5,-1.014385118,69.33527376,0.160056393,53.31678976,57.54742113,62.58399337,69.33527376,77.73391919,87.26324432,99.30075287
230.5,-1.004952366,69.47351373,0.159992344,53.41206904,57.6571979,62.70821568,69.47351373,77.88014066,87.40462203,99.41314881
231.5,-0.995101924,69.60925782,0.159949989,53.50297229,57.7631489,62.8292204,69.60925782,78.02460556,87.54488282,99.5250061
232.5,-0.984958307,69.74227758,0.159934231,53.58912711,57.86488244,62.94664487,69.74227758,78.16741625,87.6847398,99.63818945
233.5,-0.974663325,69.87223885,0.159951004,53.67002691,57.96186944,63.0599953,69.87223885,78.30862691,87.82495478,99.75477412
234.5,-0.964376555,69.99868896,0.160007394,53.74501298,58.05342591,63.16863065,69.99868896,78.44823694,87.96634036,99.87706036
